index,u,v
0,-25,10
1,25,10
2,25.8682,9.92404
3,26.7101,9.69846
4,27.5,9.33013
5,28.2139,8.83022
6,28.8302,8.21394
7,29.3301,7.5
8,29.6985,6.7101
9,29.924,5.86824
10,30,5
11,30,-5
12,29.924,-5.86824
13,29.6985,-6.7101
14,29.3301,-7.5
15,28.8302,-8.21394
16,28.2139,-8.83022
17,27.5,-9.33013
18,26.7101,-9.69846
19,25.8682,-9.92404
20,25,-10
21,-25,-10
22,-25.8682,-9.92404
23,-26.7101,-9.69846
24,-27.5,-9.33013
25,-28.2139,-8.83022
26,-28.8302,-8.21394
27,-29.3301,-7.5
28,-29.6985,-6.7101
29,-29.924,-5.86824
30,-30,-5
31,-30,5
32,-29.924,5.86824
33,-29.6985,6.7101
34,-29.3301,7.5
35,-28.8302,8.21394
36,-28.2139,8.83022
37,-27.5,9.33013
38,-26.7101,9.69846
39,-25.8682,9.92404
40,-25,10
